,timer,WCR IN,Welding Current,Welding Voltage,X offset,Z offset,PLUS Integral,MINUS Integral,Standard_Arc_Current,ALL Integral,x up,x ui,z up,z ui,x,y,z,welding on/off polyscope,touch on/off polyscope,ratio_t,get_wcr polyscope,get_touch polyscope,write_welder,peak_vlaue,Arc_percent,set_current,set_voltage,set speed (cpm),set amplitude,set frequency,set x_offset,set z_offset,set rx,set ry
1745306717.2211263,7.368000030517578,0.0,339.0,30.002927780151367,0.37999019026756287,0.800000011920929,352.0735168457031,341.2166748046875,310.0,346.6451110839844,0.37999019026756287,0.0,-0.800000011920929,0.0,21.021228790283203,-1.1445704698562622,0.1434735357761383,1.0,0.0,0.08536585420370102,1.0,0.0,1.0,0.0,22.86838150024414,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-73.23641967773438,40.0
1745306717.322543,7.4720001220703125,0.0,343.0,29.777345657348633,0.37999019026756287,0.800000011920929,352.0735168457031,341.2166748046875,310.0,346.6451110839844,0.37999019026756287,0.0,-0.800000011920929,0.0,23.02633285522461,-0.3086157739162445,0.23788651823997498,1.0,0.0,0.08536585420370102,1.0,0.0,1.0,0.0,47.766441345214844,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-73.23641967773438,40.0
1745306717.4236157,7.576000213623047,0.0,367.0,30.035152435302734,0.37999019026756287,0.800000011920929,352.0735168457031,341.2166748046875,310.0,346.6451110839844,0.37999019026756287,0.0,-0.800000011920929,0.0,24.856176376342773,0.4852999150753021,0.25866156816482544,1.0,0.0,0.08536585420370102,1.0,0.0,1.0,0.0,73.8031997680664,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-73.23641967773438,40.0
1745306717.5253458,7.671999931335449,0.0,345.0,29.938478469848633,0.37999019026756287,0.800000011920929,352.0735168457031,341.2166748046875,310.0,346.6451110839844,0.37999019026756287,0.0,-0.800000011920929,0.0,26.483808517456055,1.1649174690246582,0.25134164094924927,1.0,0.0,0.08536585420370102,1.0,0.0,1.0,50.0,95.38040924072266,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-73.23641967773438,40.0
1745306717.6269338,7.776000022888184,0.0,343.0,30.035152435302734,0.37999019026756287,0.800000011920929,352.0735168457031,341.2166748046875,310.0,346.6451110839844,0.37999019026756287,0.0,-0.800000011920929,0.0,26.160114288330078,0.7033143043518066,-0.05368233472108841,1.0,0.0,0.09756097197532654,1.0,0.0,1.0,0.0,15.450384140014648,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-72.771728515625,40.0
1745306717.7284935,7.880000114440918,0.0,337.0,30.29296875,0.37999019026756287,0.800000011920929,352.0735168457031,341.2166748046875,310.0,346.6451110839844,0.37999019026756287,0.0,-0.800000011920929,0.0,24.97243881225586,-1.063000202178955,-0.30670449137687683,1.0,0.0,0.09756097197532654,1.0,0.0,1.0,0.0,64.23006439208984,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-72.771728515625,40.0
1745306717.8297434,7.984000205993652,0.0,325.0,29.970703125,0.37999019026756287,0.800000011920929,352.0735168457031,341.2166748046875,310.0,346.6451110839844,0.37999019026756287,0.0,-0.800000011920929,0.0,23.7498836517334,-2.663588523864746,-0.6383910179138184,1.0,0.0,0.09756097197532654,1.0,0.0,1.0,50.0,102.13447570800781,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-72.771728515625,40.0
1745306717.9323745,8.088000297546387,0.0,336.0,29.616212844848633,0.37999019026756287,0.800000011920929,352.0735168457031,341.2166748046875,310.0,346.6451110839844,0.37999019026756287,0.0,-0.800000011920929,0.0,25.268404006958008,-1.589398741722107,-0.5959899425506592,1.0,0.0,0.09756097197532654,1.0,0.0,1.0,0.0,20.80849266052246,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-72.771728515625,40.0
1745306718.0341566,8.192000389099121,0.0,328.0,29.551753997802734,0.37999019026756287,0.800000011920929,352.0735168457031,341.2166748046875,310.0,346.6451110839844,0.37999019026756287,0.0,-0.800000011920929,0.0,27.246315002441406,-0.7351899147033691,-0.5287761092185974,1.0,0.0,0.09756097197532654,1.0,0.0,1.0,0.0,45.14251708984375,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-72.771728515625,40.0
1745306718.1359596,8.295999526977539,0.0,342.0,29.777345657348633,0.37999019026756287,0.800000011920929,352.0735168457031,341.2166748046875,310.0,346.6451110839844,0.37999019026756287,0.0,-0.800000011920929,0.0,29.10284996032715,0.035579994320869446,-0.5145955085754395,1.0,0.0,0.09756097197532654,1.0,0.0,1.0,0.0,71.33987426757812,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-72.771728515625,40.0
